Date,Day,ServiceDay,Regular,Light,Vegan,Vegetarian
2020-03-09,monday,True,"no service: there will be bread, ham, turkey ham, panela, tomatoe and condiments available for selfmade sandwiches.;fruit, yogurt and cereal","no service: there will be bread, ham, turkey ham, panela, tomatoe and condiments available for selfmade sandwiches.;fruit, yogurt and cereal","no service, there will be fruit and vegan yogurt available","no service, there will be fruit, yogurt, cereal,;selfmade panela sandwiches available"
2020-03-10,tuesday,True, beef strips in green tomatillo sauce; scrambled eggs with bacon; 1/2 portion of beef + 1/2 portion of scrambled eggs,scrambled egg whites,potatoes in green tomatillo sauce, potatoes in green tomatillo sauce; scrambled eggs with bellpeppers; 1/2 portion of potatoes + 1/2 portion of scrambled eggs
2020-03-11,wednesday,True, spiced porkleg burritos (3pcs); scrambled eggs with turkey chorizo; 1.5 burritos + 1/2 portion of scrambled eggs,scrambled egg whites mexican style,bean burritos 3pcs, bean and cheese burritos (3pcs); scrambled eggs mexican style; 1.5 burritos + 1/2 portion of scrambled eggs
2020-03-12,thursday,True, porkrind gorditas (3pc); scrambled eggs with ham; 1.5 gorditas + 1/2 portion of scrambled eggs,scrambled egg whites,mushroom gorditas 3pcs, cheese and poblano strips gorditas (3pc); scrambled eggs with nopales; 1.5 gorditas + 1/2 portion of scrambled eggs
2020-03-13,friday,True, barbacoa tacos (4pcs); scrambled eggs with machaca; 2 tacos + 1/2 portion of scrambled eggs,scrambled egg whites with nopales,tacos of potatoes with soy chorizo 4pcs, potatoes with soy chorizo tacos (4pcs); scrambled eggs with mushrooms; 2 tacos + 1/2 portion of scrambled eggs
2020-03-16,monday,False,,,,
2020-03-17,tuesday,True, ham and cheese sandwich (1pc); scrambled eggs with turkey sausage; 1/2 sandwich + 1/2 portion of scrambled eggs,scrambled egg whites,veggie sandwich 1pc, 3 cheeses sandwich (1pc); scrambled eggs with soy chorizo; 1/2 sandwich + 1/2 portion of scrambled eggs
2020-03-18,wednesday,True, whole wheat quesadillas with chorizo / turkey ham (1pc); scrambled eggs with ham; 1/2 quesadilla + 1/2 portion of scrambled eggs,scrambled egg whites with diced onions and bellpeppers,whole wheat quesadillas with vegan cheese and vegetables, whole wheat quesadillas with cheese and bellpeppers (1pc); scrambled eggs mexican style; 1/2 quesadilla + 1/2 portion of scrambled eggs
2020-03-19,thursday,True," red sauce,spiced porkrind tacos; egg tortilla bathed in tomato sauce; 1/2 portion of porkrind + 1/2 egg tortilla",scrambled egg whites,poblano strips with corn tacos, cream poblano strips with corn tacos; egg tortilla bathed in tomato sauce; 1/2 portion of poblano strips + 1/2 egg tortilla
2020-03-20,friday,True," trivorced chilaquiles (creamy chipotle, green tomatillo and red tomato sauce); scrambled eggs with machaca; 1.2 portion of chilaquitles + 1/2 portion of scrambled eggs",scrambled egg whites with chorizo,trivorced chilaquiles (green tomatillo and red tomato sauce)," trivorced chilaquiles (creamy chipotle, green tomatillo and red tomato sauce); scrambled eggs with bell peppers; 1.2 portion of chilaquitles + 1/2 portion of scrambled eggs"
